id;license;rightsHolder;institutionCode;collectionCode;basisOfRecord;occurrenceID;catalogNumber;recordNumber;recordedBy;establishmentMeans;eventDate;year;month;day;collectionCode;locality;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;identifiedBy;dateIdentified;typeStatus;scientificName;kingdom;phylum;class;order;family;genus;infraspecificEpithet;taxonRank
ba6682e4-992c-459c-b919-907b8e054f69;CC_BY_4_0;;CEN;;occurrence;ba6682e4-992c-459c-b919-907b8e054f69;19534788;19706.0;Sebastio Pinheiro Cordovil da Silva;;1992-10-08T00:00:00Z;1992.0;10.0;8.0;BRA;Fazenda Aranha a 8 km do Crrego Castelo.;;;;;;;;Xanthosoma pentaphyllum Engl.;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Xanthosoma;;SPECIES
610fd2d9-c6c2-44ca-b2d6-ce32d5b8804a;CC_BY_4_0;;CEN;;occurrence;610fd2d9-c6c2-44ca-b2d6-ce32d5b8804a;19534789;15251.0;Bruno Machado Teles Walter;;1991-12-09;1991.0;12.0;9.0;BR;Em frente ao viveiro antigo da UHE Serra da Mesa (5 km da entrada norte do canteiro de obras). rea de infl.;;;;;;;;Xanthosoma striatipes (Kunth) Madison;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Xanthosoma;;SPECIES
87041dd8-71db-4d59-b44c-bea8da35bd90;CC_BY_4_0;;CEN;;occurrence;87041dd8-71db-4d59-b44c-bea8da35bd90;19534782;58727.0;Bruno Machado Teles Walter;;2001-01-24T00:00:00Z;2001.0;1.0;24.0;BR;1 Km aps a Balsa da Coterra (Minau / Cavalcante), entra a direita at o Rio Macaco. Cerca de 500 m aps este rio.;-13.585277;-48.080277;;;;;;Xanthosoma striatipes (Kunth) Madison;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Xanthosoma;;SPECIES
d5c042f1-c7a3-417b-96f6-a8ea9c562a31;CC_BY_4_0;;CEN;;occurrence;d5c042f1-c7a3-417b-96f6-a8ea9c562a31;19534783;44644.0;Luciano de Bem Bianchetti;;1991-12-11T00:00:00Z;1991.0;12.0;11.0;BR;Interior da mata.;-14.1514;-48.0783;;;;;;Xanthosoma pentaphyllum Engl.;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Xanthosoma;;SPECIES
c614ec5c-5483-4763-815a-8c8e68402f2b;CC_BY_4_0;;CEN;;occurrence;c614ec5c-5483-4763-815a-8c8e68402f2b;19533782;;Ldio Coradin;;1983-06-25T00:00:00Z;1983.0;6.0;25.0;BR;Rodovia Juazeiro - Senhor do Bonfim (BR-407) km 100.;-10.31667;-40.16667;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
06788282-a047-479b-a6de-b902a7c222a2;CC_BY_4_0;;CEN;;occurrence;06788282-a047-479b-a6de-b902a7c222a2;19533778;;Ldio Coradin;;1981-08-24T00:00:00Z;1981.0;8.0;24.0;BR;Itua - sada para Itanha.;-13.8;-41.3;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
6cba8156-73b3-4967-9c70-8a500c52a6f0;CC_BY_4_0;;CEN;;occurrence;6cba8156-73b3-4967-9c70-8a500c52a6f0;19533774;;Ldio Coradin;;1992-09-16T00:00:00Z;1992.0;9.0;16.0;BR;Estrada Rio de Contas - Livramento do Brumado, km 9.;-13.61667;-41.81667;;;;;;Vigna adenantha (E.Mey.) Maréchal, Mascherpa & Stainier;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
ea3d5603-669f-41e0-b17c-6f091011165e;CC_BY_4_0;;CEN;;occurrence;ea3d5603-669f-41e0-b17c-6f091011165e;19534787;31780.0;Bruno Machado Teles Walter;;1997-01-02T00:00:00Z;1997.0;1.0;2.0;BR;Fazenda Barreiro. Cerca de 6 km a sudoeste da sede do municpio.;-4.40806;-40.4378;;;;;;Xanthosoma pentaphyllum Engl.;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Xanthosoma;;SPECIES
b1c6c7b5-c281-4209-a186-deea811cc917;CC_BY_4_0;;CEN;;occurrence;b1c6c7b5-c281-4209-a186-deea811cc917;19534784;20120.0;Glocimar Pereira-Silva;;1993-11-28T00:00:00Z;1993.0;11.0;28.0;BR;Reserva Ecolgica do Guar.;-15.7797;-47.9297;;;;;;Xanthosoma striatipes (Kunth) Madison;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Xanthosoma;;SPECIES
7505e451-2a90-4102-8ea6-3c4ce6170bcf;CC_BY_4_0;;CEN;;occurrence;7505e451-2a90-4102-8ea6-3c4ce6170bcf;19533773;61444.0;Anderson Cssio Sevilha;;2005-05-22T00:00:00Z;2005.0;5.0;22.0;BR;Areio. Ponto 2.;-15.438888;-42.500833;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
